firmware,module,start_pc,end_pc,function_name,analysis_result,bug_id,cve,cwe
netgear/DGN3500-V1.1.00.30_NA.zip,mini_httpd,0x10e6c,0x12e84,(FUN_00410e6c),OIB,R1-Bug0,???,CWE-476
netgear/DGN3500-V1.1.00.30_NA.zip,rc,0x1c644,0x1cc04,(get_sd_info),MII,R1-Bug1,???,???
netgear/DGN3500-V1.1.00.30_NA.zip,setup.cgi,0xd338,0xdbd8,(delete),MID,R1-Bug2,CVE-2023-38924,CWE-121
netgear/DGN3500-V1.1.00.30_NA.zip,setup.cgi,0xe0c8,0xe454,(addkeyword),MID,R1-Bug2,CVE-2023-38924,CWE-121
netgear/DGN3500-V1.1.00.30_NA.zip,setup.cgi,0x11364,0x1299c,(save),MID,R1-Bug2,CVE-2023-38924,CWE-121
netgear/DGN3500-V1.1.00.30_NA.zip,setup.cgi,0x1792c,0x1797c,(find_val),MID,R1-Bug2,CVE-2023-38924,CWE-121
netgear/DGN3500-V1.1.00.30_NA.zip,setup.cgi,0x18ef0,0x1924c,(html_parser),MID,R1-Bug2,CVE-2023-38924,CWE-121
netgear/DGN3500-V1.1.00.30_NA.zip,setup.cgi,0x25b70,0x2639c,(set_SRouteMetric),MID,R1-Bug2,CVE-2023-38924,CWE-121
netgear/DGN3500-V1.1.00.30_NA.zip,setup.cgi,0x2830c,0x287a4,(set_TimeZone),MID,R1-Bug2,CVE-2023-38924,CWE-121
netgear/DGN3500-V1.1.00.30_NA.zip,setup.cgi,0x2afd8,0x2b67c ,(set_rule_out),MID,R1-Bug2,CVE-2023-38924,CWE-121
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,mini_httpd,0x36e8,0x4278,(FUN_004036e8),OIB,R1-Bug3,???,CWE-787
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,mini_httpd,0x427c,0x5478,(FUN_0040427c),OIB,R1-Bug3,???,CWE-787
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,0x10698,0x106e0,(find_val),MID,R1-Bug5,???,CWE-787
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,0xcad0,0xdb98,(save),MID,R1-Bug5,???,CWE-787
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,0xee48,0xf110,(addkeyword),MID,R1-Bug5,???,CWE-787
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,0x121f0,0x12478,(html_parser),MID,R1-Bug6,???,CWE-119
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,0x1d554,0x1d66c,(del_list),MID,R1-Bug5,???,CWE-787
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,0x1f2e0,0x1f870,(set_SRouteMetric),MID,R1-Bug5,???,CWE-787
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,0x21834,0x21cec,(set_TimeZone),MID,R1-Bug5,???,CWE-787
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,0x23644,0x23d90,(set_rule_in),MID,R1-Bug5,???,CWE-787
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,0x23d94,0x2440c,(set_rule_out),MID,R1-Bug5,???,CWE-787
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,0x29614,0x297d4,(set_WAN_ipType),MID,R1-Bug5,???,CWE-787
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,setup.cgi,0x29ca0,0x29e58,(get_WAN_ipType),MID,R1-Bug5,???,CWE-787
trendnet/FW_TV-IP121WN_1.2.2.zip,network.cgi,0x0d08,0x1cac,(main),OID,R1-Bug13,CVE-2018-19240,CWE-121
trendnet/FW_TV-IP121WN_1.2.2.zip,view.cgi,0x0d40,0x1074,(main),OID,R1-Bug14,CVE-2018-19241,CWE-121
trendnet/FW_TV-IP651WI_V1_1.07.01.zip,alphapd,0x2ab3c,0x2b2b8,(websCgibinProcessor),MID,R1-Bug15,???,CWE-787
linksys/FW_WRT320N_1.0.05.002_20110331.bin,httpd,0x19918,0x199bb,(get_cgi),OIB,R0-Bug10,???,CWE-476
linksys/FW_WRT320N_1.0.05.002_20110331.bin,httpd,0x273b0,0x274f0,(validate_merge_ipaddrs),OIB,R0-Bug11,???,CWE-476
linksys/FW_WRT320N_1.0.05.002_20110331.bin,httpd,0x28b78,0x28cec,(valid_hwaddr),OIB,R0-Bug11,???,CWE-476
linksys/FW_WRT320N_1.0.05.002_20110331.bin,httpd,0x2a1e8,0x2a74c,(validate_cgi),OIB,R0-Bug10,???,CWE-476
linksys/FW_WRT320N_1.0.05.002_20110331.bin,httpd,0x47c54,0x4881b,(validate_forward_single),OIB,R0-Bug10,???,CWE-476
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,mini_httpd,0x3acc,0x3bc8,(FUN_00403acc),OIB,R1-Bug7,???,CWE-476
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,mini_httpd,0x5c88,0x81a0,(FUN_00405c88),OIB,R1-Bug8,???,CWE-787
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,setup.cgi,0x21640,0x218f8,(html_parser),OID,R1-Bug9,???,CWE-119
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,setup.cgi,0x4da30,0x4de08,(upgrade_main),OID,R1-Bug10,???,CWE-119
tplink/TL-WPA8630_US__V2_171011.zip,httpd,0x57d0,0x5b68,(FUN_004057d0),OIB,R1-Bug11,CVE-2024-57357,CWE-78
tplink/TL-WPA8630_US__V2_171011.zip,httpd,0xedfc,0xf16c,(FUN_0040edfc),MIB,R1-Bug11,CVE-2023-27837,CWE-78
tplink/TL-WPA8630_US__V2_171011.zip,httpd,0x1685c,0x169e0,(FUN_0041685c),MIB,R1-Bug11,CVE-2024-57357,CWE-78
tplink/TL-WPA8630_US__V2_171011.zip,httpd,0x25f90,0x260f4,(FUN_00425f90),OIB,R1-Bug11,CVE-2023-27837,CWE-78
tplink/TL-WPA8630_US__V2_171011.zip,ledschd,0x2320,0x236c,(FUN_00402320),MII,R1-Bug12,???,???
dlink/dap2310_v1.00_o772.bin,atp,0x3830,0x3a14,(redirect_htm),MID,R0-Bug1,???,CWE-119
dlink/dap2310_v1.00_o772.bin,atp,0x3a70,0x3ad0,(ExeShell),MID,R0-Bug0,CVE-2016-1558,CWE-119
dlink/dap2310_v1.00_o772.bin,atp,0x3a18,0x3a6c,(rpsubname),MID,R0-Bug1,???,CWE-119
dlink/dap2310_v1.00_o772.bin,udhcpd,0x3448,0x37e0,(FUN_00403448),MII,R0-Bug6,???,CWE-476
dlink/dap2310_v1.00_o772.bin,xmldb,0x8618,0x8808,(FUN_00408618),MII,R0-Bug1,???,CWE-119
dlink/dap2310_v1.00_o772.bin,xmldb,0x8b50,0xd490,(FUN_00408b50),MII,R0-Bug1,???,CWE-119
dlink/dir300_v1.03_7c.bin,atp,0x366c,0x417c,(do_xgi),MID,R0-Bug3,???,CWE-476
dlink/dir300_v1.03_7c.bin,atp,0x425c,0x44c4,(redirect_htm),MID,R0-Bug1,???,CWE-119
dlink/dir300_v1.03_7c.bin,atp,0x47e4,0x484c,(ExeShell),MID,R0-Bug1,???,CWE-119
dlink/dir300_v1.03_7c.bin,udhcpd,0x2f70,0x30f8,(FUN_00402f70),MII,R0-Bug6,???,CWE-476
dlink/dir300_v1.03_7c.bin,xmldb,0xb7e4,0xbdcc,(FUN_0040b7e4),MII,R0-Bug7,???,???
